article,language,start,end
Flight_and_expulsion_of_Germans_(1944–1950),de,12/01/2016 20:21,31/12/2029 23:59
Flight_and_expulsion_of_Germans_(1944–1950),pl,08/08/2018 12:30,08/02/2019 13:30
Expulsion_of_Germans_from_Czechoslovakia,en,26/06/2020 16:00,26/07/2020 16:00
Expulsion_of_Germans_from_Czechoslovakia,en,02/05/2020 18:11,05/05/2020 18:11
Recovered_Territories,en,21/06/2010 00:15,31/12/2029 23:59
Recovered_Territories,en,25/09/2009 03:55,31/12/2029 23:59
Recovered_Territories,en,01/08/2009 20:09,01/09/2009 20:09
Recovered_Territories,en,08/01/2009 23:24,08/04/2009 23:24
Jozef_Tiso,sk,05/02/2022 21:15,12/02/2022 21:15
Jozef_Tiso,sk,05/02/2022 16:03,19/02/2022 16:03
Jozef_Tiso,sk,25/01/2022 13:45,01/02/2022 13:45
Jozef_Tiso,sk,21/11/2021 19:41,28/11/2021 19:41
Jozef_Tiso,sk,04/09/2019 07:17,05/09/2019 07:17
Jozef_Tiso,sk,13/12/2018 10:43,14/12/2018 10:43
Benito_Mussolini,it,16/10/2022 19:09,31/12/2029 23:59
Benito_Mussolini,it,16/10/2022 18:56,31/12/2029 23:59
Benito_Mussolini,it,16/10/2022 17:37,31/12/2029 23:59
Benito_Mussolini,en,16/11/2010 23:14,31/12/2029 23:59
Benito_Mussolini,en,16/11/2010 23:13,31/12/2029 23:59
Italian_Social_Republic,it,11/02/2019 14:52,31/12/2029 23:59
Italian_Social_Republic,it,13/04/2018 20:02,16/04/2018 20:02
Italian_Social_Republic,en,02/01/2021 09:51,02/02/2021 09:51
Rodolfo_Graziani,it,20/01/2019 11:07,20/02/2019 11:07
Rodolfo_Graziani,it,04/01/2019 13:36,07/01/2019 13:36
Rodolfo_Graziani,it,04/01/2019 12:04,31/12/2029 23:59
Foibe_massacres,it,13/02/2024 09:31,20/02/2024 09:31
Foibe_massacres,it,10/02/2023 10:24,13/02/2023 10:24
Foibe_massacres,it,13/11/2022 21:45,20/11/2022 21:45
Foibe_massacres,it,09/02/2022 13:23,16/02/2022 13:23
Foibe_massacres,it,16/06/2021 10:34,23/06/2021 10:34
Foibe_massacres,it,10/02/2021 18:10,13/02/2021 18:10
Foibe_massacres,it,10/11/2019 16:41,24/11/2019 16:41
Foibe_massacres,it,08/04/2019 19:01,08/05/2019 19:01
Foibe_massacres,it,17/02/2019 16:47,24/02/2019 16:47
Foibe_massacres,it,10/02/2019 21:56,11/02/2019 21:56
Foibe_massacres,en,20/03/2021 18:13,20/03/2022 18:13
Nakba,en,14/04/2021 23:45,31/12/2029 23:59
Nakba,en,11/09/2013 21:54,11/12/2013 21:54
Nakba,en,11/06/2013 14:22,11/09/2013 14:22
Mandatory_Palestine,en,17/04/2016 11:41,31/12/2029 23:59
Mandatory_Palestine,en,02/09/2015 23:13,02/03/2016 23:13
Mandatory_Palestine,en,20/08/2015 13:16,23/08/2015 13:16
Mandatory_Palestine,en,26/02/2015 15:37,26/03/2015 15:37
Mandatory_Palestine,en,13/08/2013 15:15,13/11/2013 15:15
Mandatory_Palestine,en,20/02/2013 16:06,20/03/2013 16:06
Mandatory_Palestine,de,01/08/2018 03:46,01/09/2018 03:46
Mandatory_Palestine,de,27/07/2018 16:00,28/07/2018 16:00
David_Ben-Gurion,en,25/12/2016 10:55,31/12/2029 23:59
David_Ben-Gurion,en,22/06/2012 00:48,29/06/2012 00:48
Yasser_Arafat,en,25/12/2016 21:06,31/12/2029 23:59
Yasser_Arafat,en,25/12/2016 12:11,25/12/2017 12:11
Yasser_Arafat,en,11/05/2011 11:03,31/12/2029 23:59
Yasser_Arafat,en,21/06/2010 19:16,31/12/2029 23:59
Yasser_Arafat,en,08/06/2010 01:57,08/09/2010 01:57
Yasser_Arafat,en,06/02/2009 16:11,31/12/2029 23:59
Yasser_Arafat,ar,28/05/2022 20:36,28/06/2022 20:36
Yasser_Arafat,ar,23/03/2022 14:35,23/04/2022 14:35
Yasser_Arafat,ar,25/01/2022 04:37,25/02/2022 04:36
Yasser_Arafat,ar,20/05/2021 11:51,20/06/2021 11:51
Yasser_Arafat,de,30/04/2020 18:44,07/05/2020 18:44
Yasser_Arafat,de,25/12/2019 20:43,01/01/2020 20:43
Yasser_Arafat,de,18/01/2019 23:26,18/04/2019 22:26
Yasser_Arafat,de,11/10/2018 13:16,11/11/2018 14:16
Yasser_Arafat,de,06/03/2017 18:23,07/03/2017 18:23
Six-Day_War,en,05/12/2016 09:46,31/12/2029 23:59
Six-Day_War,en,14/10/2010 14:02,31/12/2029 23:59
Six-Day_War,en,17/08/2010 14:17,17/09/2010 14:17
