,language,title,timestamp,user,action,comment,type,level,expiry,article
0,en,Kyiv,2020-09-16 07:02:06,Wugapodes,move_prot,[[Kiev]] moved to [[Kyiv]]: Per consensus on talk page. See [[Special:Diff/978661752|the requested move]],,,,Kyiv
1,en,Kyiv,2007-07-27 22:01:40,Alex Bakharev,protect,"edit war, attempts to make fork [edit=sysop:move=sysop]",,,,Kyiv
2,de,Kiew,2024-05-23 17:19:58,Count Count,protect,[[WP:WAR|Edit-War]] – bitte die zugehörige [[Diskussion:Kiew|Diskussionsseite]] aufsuchen,"['edit', 'move']","['autoconfirmed', 'autoconfirmed']",2024-05-30 17:19:00,Kyiv
3,de,Kiew,2024-02-24 11:30:18,Squasher,protect,Wiederkehrender [[WP:Vd|Vandalismus]],"['edit', 'move']","['editeditorprotected', 'editeditorprotected']",2024-03-24 11:30:00,Kyiv
4,de,Kiew,2023-11-25 08:55:33,Zollernalb,protect,[[WP:WAR|Edit-War]] – bitte die zugehörige [[Diskussion:Kiew|Diskussionsseite]] aufsuchen,"['edit', 'move']","['autoconfirmed', 'autoconfirmed']",2023-12-02 08:55:00,Kyiv
5,de,Kiew,2023-04-12 08:17:44,PaterMcFly,protect,"Änderungen gegen den Konsens, bitte Diskussionsseite benützen","['edit', 'move']","['autoconfirmed', 'autoconfirmed']",2023-04-19 08:17:00,Kyiv
6,de,Kiew,2022-08-15 20:12:58,Johannnes89,protect,Langzeit-[[WP:E-W|Edit-War]] mit diversen IPs/Neuaccounts um [[WP:NK]]. Bitte auf [[Diskussion:Kiew]] Konsens zur Schreibweise finden.,"['edit', 'move']","['editeditorprotected', 'editeditorprotected']",2023-02-15 21:12:00,Kyiv
7,de,Kiew,2022-03-05 09:23:41,Ameisenigel,move_prot,hat „[[Kyjiw]]“ nach „[[Kiew]]“ verschoben: Widerspricht [[WP:NK]]: Oberste Richtschnur ist der allgemeine Sprachgebrauch.,,,,Kyiv
8,de,Kiew,2022-02-26 06:33:09,Werner von Basil,protect,nach VM; s. Versionsgeschichte.,"['edit', 'move']","['autoconfirmed', 'autoconfirmed']",2022-03-26 06:33:00,Kyiv
9,de,Kiew,2019-04-28 07:42:43,Tönjes,protect,[[WP:WAR|Edit-War]],"['edit', 'move']","['autoconfirmed', 'autoconfirmed']",2019-07-28 07:42:00,Kyiv
10,de,Kiew,2017-09-12 07:46:57,Graphikus,protect,Wiederkehrender [[WP:Vd|Vandalismus]],"['edit', 'move']","['autoconfirmed', 'autoconfirmed']",2017-09-19 07:46:00,Kyiv
11,uk,Київ,2015-03-06 03:20:30,NickK,modify,частий вандалізм,,,2029-12-31 23:59:59,Kyiv
12,uk,Київ,2015-03-01 01:51:00,AS,move_prot,«[[Вікіпедія:НАША ДОБРА СТОЛИЦЯ!]]» перейменована на «[[Київ]]»,,,,Kyiv
13,uk,Київ,2013-09-22 18:25:24,Aced,move_prot,«[[НАША ДОБРА СТОЛИЦЯ!]]» перейменована на «[[Київ]]»,,,,Kyiv
14,uk,Київ,2011-07-10 02:31:00,NickK,protect,частий вандалізм,,,2029-12-31 23:59:59,Kyiv
15,uk,Київ,2011-01-09 20:35:59,VictorAnyakin,modify,непродуктивна війна редагувань,,,2011-01-10 20:35:00,Kyiv
16,uk,Київ,2007-11-10 17:56:23,A1,protect,[edit=autoconfirmed:move=autoconfirmed],,,,Kyiv
17,ru,Киев,2023-08-10 22:16:52,Oleg Yunakov,protect,частый [[ВП:В|вандализм]],"['edit', 'move']","['autoconfirmed', 'autoconfirmed']",2024-08-10 22:16:00,Kyiv
18,ru,Киев,2023-07-23 00:17:24,QBA-bot,protect,повторяющиеся [[ВП:КОНС|неконсенсусные]] правки,"['edit', 'move']","['autoconfirmed', 'autoconfirmed']",2023-07-30 00:17:00,Kyiv
19,ru,Киев,2023-07-12 01:54:46,QBA-bot,protect,повторяющиеся [[ВП:КОНС|неконсенсусные]] правки,"['edit', 'move']","['autoconfirmed', 'autoconfirmed']",2023-07-19 01:54:00,Kyiv
20,ru,Киев,2023-01-09 04:24:08,Q-bit array,protect,частый [[ВП:В|вандализм]],"['edit', 'move']","['autoconfirmed', 'autoconfirmed']",2023-07-09 04:24:00,Kyiv
21,ru,Киев,2022-07-07 06:42:05,Q-bit array,modify,частый [[ВП:В|вандализм]],"['edit', 'move']","['autoconfirmed', 'autoconfirmed']",2023-01-07 06:41:00,Kyiv
22,ru,Киев,2022-07-07 06:40:37,Q-bit array,modify,,"['edit', 'move']","['autoconfirmed', 'autoconfirmed']",2023-01-07 06:40:00,Kyiv
23,ru,Киев,2022-07-05 05:31:35,QBA-bot,protect,повторяющиеся [[ВП:КОНС|неконсенсусные]] правки,"['edit', 'move']","['autoconfirmed', 'autoconfirmed']",2022-07-12 05:31:00,Kyiv
