,language,title,timestamp,user,action,comment,type,level,expiry,article
0,en,Ulysses S. Grant,2010-10-20 18:55:00,Just Step Sideways,modify,removing PC protection and re-instating previous indef semi,,,2029-12-31 23:59:59,Ulysses_S._Grant
1,en,Ulysses S. Grant,2010-06-19 16:08:15,Risker,modify,[[Wikipedia:Pending changes]] trial,,,2029-12-31 23:59:59,Ulysses_S._Grant
2,en,Ulysses S. Grant,2010-02-24 08:51:01,Graham87,move_prot,[[MediaWiki talk:Ulysses S. Grant]] moved to [[Ulysses S. Grant]]: revert,,,,Ulysses_S._Grant
3,en,Ulysses S. Grant,2008-10-11 18:22:18,NawlinWiki,modify,[[WP:MOVP|Page-move vandalism]],,,2029-12-31 23:59:59,Ulysses_S._Grant
4,en,Ulysses S. Grant,2008-10-11 09:41:31,Luk,protect,moved [[.H....A....Ġ....Ġ....E....R ?]] to [[Ulysses S. Grant]],,,,Ulysses_S._Grant
5,en,Ulysses S. Grant,2008-06-03 16:10:57,Caulde,protect,"always needs protection, trying 'sp' for an indefinite period of time: unprotect after a reasonable time period [edit=autoconfirmed:move=autoconfirmed]",,,,Ulysses_S._Grant
6,en,Ulysses S. Grant,2008-05-13 19:02:06,PeterSymonds,protect,"Recent vandalism [edit=autoconfirmed:move=autoconfirmed] (expires 19:02, 15 May 2008 (UTC))",,,2008-05-15 19:02:00,Ulysses_S._Grant
7,en,Ulysses S. Grant,2008-05-12 16:17:11,Nishkid64,unprotect,Page protected for a while; hopefully protection is no longer necessary,,,,Ulysses_S._Grant
8,en,Ulysses S. Grant,2008-04-04 17:03:29,Caulde,protect,"vandalism, multiple anons disrupting page [edit=autoconfirmed:move=autoconfirmed]",,,,Ulysses_S._Grant
9,en,Ulysses S. Grant,2008-01-17 20:58:02,MastCell,protect,"Vandalism, multiple IP's [edit=autoconfirmed:move=autoconfirmed] (expires 20:58, 7 February 2008 (UTC))",,,2008-02-07 20:58:00,Ulysses_S._Grant
10,en,Ulysses S. Grant,2007-03-19 14:00:31,Tom harrison,protect,"vandalism [edit=autoconfirmed:move=autoconfirmed] (expires 14:00, 26 March 2007 (UTC))",,,2007-03-26 14:00:00,Ulysses_S._Grant
11,en,Sherman's March to the Sea,2008-12-14 12:21:01,Thehelpfulone,protect,Semi-protection: vandalism. using [[WP:TWINKLE|Twinkle]],,,2008-12-28 12:21:00,Sherman's_March_to_the_Sea
12,en,William Tecumseh Sherman,2010-12-10 19:16:02,Scott MacDonald,modify,Excessive [[WP:VAN|vandalism]],,,2029-12-31 23:59:59,William_Tecumseh_Sherman
13,en,William Tecumseh Sherman,2010-06-22 02:11:33,Mike V,modify,[[Wikipedia:Pending changes|Pending changes]] trial,,,2029-12-31 23:59:59,William_Tecumseh_Sherman
14,en,William Tecumseh Sherman,2010-05-26 00:34:26,Casliber,protect,Excessive [[WP:VAN|vandalism]]: recurrent target,,,2029-12-31 23:59:59,William_Tecumseh_Sherman
15,en,William Tecumseh Sherman,2009-10-21 23:05:53,Mifter,protect,Excessive [[WP:VANDALISM|vandalism]],,,2010-04-21 23:05:00,William_Tecumseh_Sherman
16,en,William Tecumseh Sherman,2009-04-21 13:15:28,Lectonar,protect,Excessive [[WP:VANDALISM|vandalism]]:&#32;until the end of schoolterm,,,2009-07-21 13:15:00,William_Tecumseh_Sherman
17,en,William Tecumseh Sherman,2009-03-06 14:38:44,Xymmax,protect,Excessive [[WP:VANDALISM|vandalism]],,,2009-03-20 14:38:00,William_Tecumseh_Sherman
18,en,William Tecumseh Sherman,2007-08-05 22:40:19,Chaser,protect,"today's featured article appearing on main page on 7 August [move=sysop] (expires 00:00, 8 August 2007 (UTC))",,,2007-08-08 00:00:00,William_Tecumseh_Sherman
19,en,William Tecumseh Sherman,2007-03-28 19:44:28,Sasquatch,protect,"anon-vandalism [edit=autoconfirmed:move=sysop] (expires 23:59, March 28, 2007 (UTC))",,,,William_Tecumseh_Sherman
20,en,William Tecumseh Sherman,2005-11-16 16:40:42,Antandrus,unprotect,vandalism spree over,,,,William_Tecumseh_Sherman
21,en,William Tecumseh Sherman,2005-11-16 06:34:04,Antandrus,protect,vandalism,,,,William_Tecumseh_Sherman
22,en,Confederate States Army,2020-09-06 10:42:10,Favonian,protect,Persistent [[WP:Disruptive editing|disruptive editing]]: requested at [[WP:RFPP]],"['edit', 'move']","['autoconfirmed', 'autoconfirmed']",2020-10-06 10:42:00,Confederate_States_Army
23,en,Confederate States Army,2020-08-21 23:52:33,Johnuniq,protect,Persistent [[WP:Disruptive editing|disruptive editing]]: please discuss on talk,['edit'],['autoconfirmed'],2020-08-28 23:52:00,Confederate_States_Army
24,de,Confederate States Army,2020-11-05 06:22:30,Squasher,protect,[[WP:WAR|Edit-War]],['edit'],['sysop'],2020-11-08 06:22:00,Confederate_States_Army
25,de,Confederate States Army,2013-04-22 22:57:15,Ne discere cessa!,protect,[[WP:WAR|Edit-War]],,,2013-04-23 22:57:00,Confederate_States_Army
26,de,Confederate States Army,2013-04-17 09:48:38,Hephaion,protect,[[WP:WAR|Edit-War]]: Bitte die Disku benutzen,,,2013-04-21 09:48:00,Confederate_States_Army
27,de,Confederate States Army,2013-04-08 07:23:51,Otberg,unprotect,[[WP:EW|Entsperrwunsch]],,,,Confederate_States_Army
28,de,Confederate States Army,2013-03-22 08:32:40,Wahrerwattwurm,protect,,,,2029-12-31 23:59:59,Confederate_States_Army
29,de,Confederate States Army,2011-11-18 13:13:38,Thomas Glintzer,protect,[[WP:WAR|Edit-War]],,,2011-11-21 13:13:00,Confederate_States_Army
30,en,Robert E. Lee,2010-09-11 17:57:09,Dabomb87,modify,"Pending changes trial ended, restoring protection in place before trial",,,2029-12-31 23:59:59,Robert_E._Lee
31,en,Robert E. Lee,2010-06-20 07:10:27,Risker,modify,[[Wikipedia:Pending changes]] trial,,,2029-12-31 23:59:59,Robert_E._Lee
32,en,Robert E. Lee,2009-01-14 23:22:31,Gonzo fan2007,protect,Excessive [[WP:VANDALISM|vandalism]],,,2029-12-31 23:59:59,Robert_E._Lee
33,en,Robert E. Lee,2008-11-18 15:43:20,Indubitably,protect,Excessive [[WP:VANDALISM|vandalism]],,,2008-12-18 15:43:00,Robert_E._Lee
34,en,Robert E. Lee,2008-10-20 21:21:02,Tanthalas39,protect,Excessive [[WP:VANDALISM|vandalism]],,,2008-11-03 21:21:00,Robert_E._Lee
35,en,Robert E. Lee,2008-04-08 02:32:13,Allen3,protect,"persistent vandalism by anonymous users [edit=autoconfirmed:move=autoconfirmed] (expires 02:32, 8 May 2008 (UTC))",,,2008-05-08 02:32:00,Robert_E._Lee
36,en,Robert E. Lee,2008-03-04 17:36:29,Alexf,protect,"Anon IP vandalism [edit=autoconfirmed:move=autoconfirmed] (expires 17:36, 4 April 2008 (UTC))",,,2008-04-04 17:36:00,Robert_E._Lee
37,en,Robert E. Lee,2007-10-30 16:23:21,Carlosguitar,protect,"High level of vandalism [edit=autoconfirmed:move=autoconfirmed] (expires 16:23, 20 November 2007 (UTC))",,,2007-11-20 16:23:00,Robert_E._Lee
38,en,Robert E. Lee,2007-05-04 16:59:35,Alison,protect,"High level of persistent anon vandalism - resumed after previous prot lifted / requested at [{WP:RPP]] [edit=autoconfirmed:move=autoconfirmed] (expires 16:59, 18 May 2007 (UTC))",,,2007-05-18 16:59:00,Robert_E._Lee
39,en,Robert E. Lee,2007-04-23 18:23:40,John Reaves,protect,"vandalism [edit=autoconfirmed:move=autoconfirmed] (expires 18:23, April 30, 2007 (UTC))",,,,Robert_E._Lee
40,en,Robert E. Lee,2006-11-18 18:31:52,Steel,unprotect,Time...,,,,Robert_E._Lee
41,en,Robert E. Lee,2006-10-22 16:55:09,MONGO,protect,semiprotect due to persistant vandalism [edit=autoconfirmed:move=autoconfirmed],,,,Robert_E._Lee
42,en,Robert E. Lee,2006-06-13 21:52:57,Aaron Schulz,unprotect,"Article locked for a while; hopefully, protection is no longer necessary.",,,,Robert_E._Lee
43,en,Robert E. Lee,2006-05-30 20:48:50,MONGO,protect,daily vandalisms...semi-protecting temporarily until it abates [edit=autoconfirmed:move=autoconfirmed],,,,Robert_E._Lee
44,en,Robert E. Lee,2006-05-11 00:43:42,Aaron Schulz,unprotect,Its been long enough...,,,,Robert_E._Lee
45,en,Robert E. Lee,2006-04-25 19:41:08,El C,protect,vandalism from multiple ips [edit=autoconfirmed:move=autoconfirmed],,,,Robert_E._Lee
46,en,James Longstreet,2021-11-07 00:00:35,TFA Protector Bot,protect,Upcoming TFA ([[WP:BOT|bot protection]]),['move'],['sysop'],2021-12-12 00:00:00,James_Longstreet
47,en,United Daughters of the Confederacy,2019-08-23 00:24:41,Acroterion,protect,Persistent [[WP:Disruptive editing|disruptive editing]],"['edit', 'move']","['autoconfirmed', 'autoconfirmed']",2019-08-26 00:24:00,United_Daughters_of_the_Confederacy
48,en,United Daughters of the Confederacy,2018-12-05 15:59:59,JzG,protect,[[WP:PP#Content disputes|Edit warring / content dispute]],"['edit', 'move']","['sysop', 'sysop']",2018-12-12 15:59:00,United_Daughters_of_the_Confederacy
49,en,United Daughters of the Confederacy,2018-04-22 01:54:54,Kudpung,protect,Persistent [[WP:Disruptive editing|disruptive editing]]: and addition  of PoV and unsourced content,"['edit', 'move']","['autoconfirmed', 'autoconfirmed']",2018-07-22 01:54:00,United_Daughters_of_the_Confederacy
50,en,United Daughters of the Confederacy,2018-02-20 17:39:11,CambridgeBayWeather,protect,Persistent [[WP:Vandalism|vandalism]],['edit'],['autoconfirmed'],2018-03-06 17:39:00,United_Daughters_of_the_Confederacy
51,en,United Daughters of the Confederacy,2018-02-12 03:33:45,Deepfriedokra,protect,Persistent [[WP:Disruptive editing|disruptive editing]],['edit'],['autoconfirmed'],2018-02-19 03:33:00,United_Daughters_of_the_Confederacy
52,en,United Daughters of the Confederacy,2017-08-19 21:11:57,Maile66,protect,Persistent [[WP:Vandalism|vandalism]],"['edit', 'move']","['autoconfirmed', 'autoconfirmed']",2017-11-19 21:11:00,United_Daughters_of_the_Confederacy
53,en,United Daughters of the Confederacy,2017-06-18 05:58:47,El C,protect,Persistent [[WP:Sock puppetry|sock puppetry]]: RFPP,"['edit', 'move']","['autoconfirmed', 'autoconfirmed']",2017-06-25 05:58:00,United_Daughters_of_the_Confederacy
54,en,United Daughters of the Confederacy,2017-06-04 22:38:09,MelanieN,protect,[[WP:PP#Content disputes|Edit warring / content dispute]],"['edit', 'move']","['sysop', 'sysop']",2017-06-06 22:38:00,United_Daughters_of_the_Confederacy
55,en,Jefferson Davis,2020-02-13 03:41:00,Acroterion,protect,"return of disruptive IP immediately after expiration of protection, making the protection indefinite","['edit', 'move']","['autoconfirmed', 'autoconfirmed']",2029-12-31 23:59:59,Jefferson_Davis
56,en,Jefferson Davis,2019-08-12 23:22:06,Ponyo,protect,Persistent [[WP:Vandalism|vandalism]],"['edit', 'move']","['autoconfirmed', 'autoconfirmed']",2020-02-12 23:22:00,Jefferson_Davis
