,Article,Language,Month,Count
0,Nakba,en,2024-05,2.0
1,Nakba,en,2024-04,7.0
2,Nakba,en,2024-03,2.0
3,Nakba,en,2024-02,1.0
4,Nakba,en,2024-01,1.0
5,Nakba,en,2023-12,5.0
6,Nakba,en,2023-11,2.0
7,Nakba,en,2023-10,7.0
8,Nakba,en,2023-03,2.0
9,Nakba,en,2023-02,1.0
10,Nakba,en,2022-09,1.0
11,Nakba,en,2022-08,3.0
12,Nakba,en,2022-03,1.0
13,Nakba,en,2021-05,1.0
14,Nakba,en,2021-04,6.0
15,Nakba,ar,2022-07,1.0
16,Nakba,ar,2022-05,3.0
17,Nakba,ar,2022-04,1.0
18,Nakba,ar,2022-02,1.0
19,Nakba,ar,2022-01,1.0
20,Nakba,ar,2021-07,1.0
21,Nakba,ar,2021-06,2.0
22,Nakba,ar,2021-05,1.0
23,Nakba,ar,2021-02,1.0
24,Nakba,ar,2019-11,1.0
25,Nakba,ar,2019-08,1.0
26,Nakba,ar,2018-05,1.0
27,Nakba,ar,2018-04,1.0
28,Nakba,ar,2018-02,1.0
29,Nakba,de,2024-05,1.0
30,Nakba,de,2024-04,5.0
31,Nakba,de,2024-03,3.0
32,Nakba,de,2024-02,3.0
33,Nakba,de,2024-01,3.0
34,Nakba,de,2023-11,1.0
35,Nakba,de,2023-10,1.0
36,Nakba,de,2023-07,1.0
37,Nakba,de,2023-06,1.0
38,Nakba,de,2022-11,1.0
39,Nakba,de,2022-07,2.0
40,Nakba,de,2022-05,1.0
41,Nakba,de,2022-03,1.0
42,Nakba,de,2021-05,1.0
43,Nakba,de,2018-05,1.0
44,Mandatory_Palestine,en,2024-03,1.0
45,Mandatory_Palestine,en,2024-02,3.0
46,Mandatory_Palestine,en,2024-01,4.0
47,Mandatory_Palestine,en,2023-12,1.0
48,Mandatory_Palestine,en,2023-11,1.0
49,Mandatory_Palestine,en,2022-09,1.0
50,Mandatory_Palestine,en,2021-06,1.0
51,Mandatory_Palestine,en,2021-04,1.0
52,Mandatory_Palestine,en,2021-01,3.0
53,Mandatory_Palestine,en,2020-09,2.0
54,Mandatory_Palestine,en,2019-08,2.0
55,Mandatory_Palestine,en,2019-03,1.0
56,Mandatory_Palestine,en,2018-10,1.0
57,Mandatory_Palestine,en,2018-08,2.0
58,Mandatory_Palestine,en,2018-02,2.0
59,Mandatory_Palestine,ar,2024-02,1.0
60,Mandatory_Palestine,ar,2024-01,1.0
61,Mandatory_Palestine,ar,2023-12,3.0
62,Mandatory_Palestine,ar,2023-11,1.0
63,Mandatory_Palestine,ar,2023-10,3.0
64,Mandatory_Palestine,ar,2023-09,1.0
65,Mandatory_Palestine,ar,2023-08,1.0
66,Mandatory_Palestine,ar,2023-07,1.0
67,Mandatory_Palestine,ar,2023-05,1.0
68,Mandatory_Palestine,ar,2022-11,2.0
69,Mandatory_Palestine,ar,2022-09,4.0
70,Mandatory_Palestine,ar,2022-04,1.0
71,Mandatory_Palestine,ar,2022-03,1.0
72,Mandatory_Palestine,ar,2021-12,1.0
73,Mandatory_Palestine,ar,2021-11,1.0
74,Mandatory_Palestine,ar,2021-08,1.0
75,Mandatory_Palestine,ar,2021-05,1.0
76,Mandatory_Palestine,ar,2021-04,1.0
77,Mandatory_Palestine,ar,2021-03,1.0
78,Mandatory_Palestine,ar,2021-01,1.0
79,Mandatory_Palestine,ar,2020-08,1.0
80,Mandatory_Palestine,ar,2019-10,3.0
81,Mandatory_Palestine,ar,2019-03,1.0
82,Mandatory_Palestine,ar,2019-02,1.0
83,Mandatory_Palestine,ar,2018-10,1.0
84,Mandatory_Palestine,ar,2018-03,1.0
85,Mandatory_Palestine,de,2023-11,1.0
86,Mandatory_Palestine,de,2023-10,1.0
87,Mandatory_Palestine,de,2023-07,1.0
88,Mandatory_Palestine,de,2022-11,1.0
89,Mandatory_Palestine,de,2022-01,1.0
90,Mandatory_Palestine,de,2020-05,1.0
91,Mandatory_Palestine,de,2019-12,1.0
92,Mandatory_Palestine,de,2018-07,17.0
93,1948_Arab-Israeli_War,en,,
94,1948_Arab-Israeli_War,ar,,
95,1948_Arab-Israeli_War,de,,
96,David_Ben-Gurion,en,2023-09,1.0
97,David_Ben-Gurion,en,2023-02,1.0
98,David_Ben-Gurion,en,2023-01,1.0
99,David_Ben-Gurion,en,2022-10,1.0
100,David_Ben-Gurion,en,2021-02,1.0
101,David_Ben-Gurion,en,2018-07,1.0
102,David_Ben-Gurion,ar,2024-04,2.0
103,David_Ben-Gurion,ar,2023-10,1.0
104,David_Ben-Gurion,ar,2023-07,1.0
105,David_Ben-Gurion,ar,2022-09,1.0
106,David_Ben-Gurion,ar,2022-03,1.0
107,David_Ben-Gurion,ar,2021-11,1.0
108,David_Ben-Gurion,ar,2021-10,1.0
109,David_Ben-Gurion,ar,2021-05,1.0
110,David_Ben-Gurion,ar,2020-07,1.0
111,David_Ben-Gurion,de,2024-04,1.0
112,David_Ben-Gurion,de,2023-12,2.0
113,David_Ben-Gurion,de,2023-11,1.0
114,David_Ben-Gurion,de,2023-10,1.0
115,David_Ben-Gurion,de,2023-01,1.0
116,David_Ben-Gurion,de,2021-05,1.0
117,David_Ben-Gurion,de,2020-02,1.0
118,David_Ben-Gurion,de,2019-11,1.0
119,David_Ben-Gurion,de,2018-11,1.0
120,David_Ben-Gurion,de,2018-04,2.0
121,David_Ben-Gurion,de,2018-03,1.0
122,Yasser_Arafat,en,2024-02,1.0
123,Yasser_Arafat,en,2022-09,1.0
124,Yasser_Arafat,en,2022-08,1.0
125,Yasser_Arafat,en,2022-03,1.0
126,Yasser_Arafat,en,2021-02,2.0
127,Yasser_Arafat,en,2020-10,2.0
128,Yasser_Arafat,ar,2024-03,1.0
129,Yasser_Arafat,ar,2024-02,2.0
130,Yasser_Arafat,ar,2024-01,2.0
131,Yasser_Arafat,ar,2023-11,1.0
132,Yasser_Arafat,ar,2023-10,4.0
133,Yasser_Arafat,ar,2023-08,2.0
134,Yasser_Arafat,ar,2023-07,1.0
135,Yasser_Arafat,ar,2023-05,3.0
136,Yasser_Arafat,ar,2023-03,3.0
137,Yasser_Arafat,ar,2023-02,1.0
138,Yasser_Arafat,ar,2022-11,3.0
139,Yasser_Arafat,ar,2022-10,2.0
140,Yasser_Arafat,ar,2022-09,1.0
141,Yasser_Arafat,ar,2022-06,1.0
142,Yasser_Arafat,ar,2022-05,4.0
143,Yasser_Arafat,ar,2022-03,4.0
144,Yasser_Arafat,ar,2022-01,3.0
145,Yasser_Arafat,ar,2021-12,1.0
146,Yasser_Arafat,ar,2021-11,1.0
147,Yasser_Arafat,ar,2021-09,1.0
148,Yasser_Arafat,ar,2021-08,1.0
149,Yasser_Arafat,ar,2021-05,3.0
150,Yasser_Arafat,ar,2021-04,2.0
151,Yasser_Arafat,ar,2021-03,2.0
152,Yasser_Arafat,ar,2021-02,1.0
153,Yasser_Arafat,ar,2021-01,2.0
154,Yasser_Arafat,ar,2020-12,1.0
155,Yasser_Arafat,ar,2020-11,5.0
156,Yasser_Arafat,ar,2020-10,4.0
157,Yasser_Arafat,ar,2020-09,5.0
158,Yasser_Arafat,ar,2020-08,3.0
159,Yasser_Arafat,ar,2020-06,1.0
160,Yasser_Arafat,ar,2019-12,1.0
161,Yasser_Arafat,ar,2019-09,1.0
162,Yasser_Arafat,ar,2019-08,1.0
163,Yasser_Arafat,ar,2019-07,2.0
164,Yasser_Arafat,ar,2018-12,1.0
165,Yasser_Arafat,ar,2018-11,5.0
166,Yasser_Arafat,ar,2018-08,2.0
167,Yasser_Arafat,ar,2018-07,2.0
168,Yasser_Arafat,ar,2018-04,1.0
169,Yasser_Arafat,ar,2018-03,2.0
170,Yasser_Arafat,ar,2018-02,5.0
171,Yasser_Arafat,ar,2018-01,1.0
172,Yasser_Arafat,ar,2017-12,2.0
173,Yasser_Arafat,de,2024-05,1.0
174,Yasser_Arafat,de,2024-04,1.0
175,Yasser_Arafat,de,2024-03,2.0
176,Yasser_Arafat,de,2023-11,2.0
177,Yasser_Arafat,de,2023-09,1.0
178,Yasser_Arafat,de,2022-11,1.0
179,Yasser_Arafat,de,2022-10,1.0
180,Yasser_Arafat,de,2022-06,1.0
181,Yasser_Arafat,de,2021-06,2.0
182,Yasser_Arafat,de,2021-05,2.0
183,Yasser_Arafat,de,2020-09,1.0
184,Yasser_Arafat,de,2020-07,2.0
185,Yasser_Arafat,de,2020-04,4.0
186,Yasser_Arafat,de,2019-12,3.0
187,Yasser_Arafat,de,2019-11,5.0
