,language,title,timestamp,user,action,comment,type,level,expiry,article
0,en,Nakba,2024-07-02 14:26:06,ScottishFinnishRadish,protect,[[WP:30/500|Arbitration enforcement]] - restore protection,"['edit', 'move']","['extendedconfirmed', 'extendedconfirmed']",2029-12-31 23:59:59,Nakba
1,en,Nakba,2024-06-24 18:16:33,ScottishFinnishRadish,modify,[[WP:PP#Content disputes|Edit warring / content dispute]],"['edit', 'move']","['sysop', 'sysop']",2024-07-01 18:16:00,Nakba
2,en,Nakba,2021-04-14 23:45:44,El C,protect,[[WP:A/I/PIA|New editors are prohibited from editing this Arab–Israeli conflict related page]],"['edit', 'move']","['extendedconfirmed', 'extendedconfirmed']",2029-12-31 23:59:59,Nakba
3,en,Nakba,2013-09-11 21:54:59,NawlinWiki,protect,Persistent [[WP:Sock puppetry|sock puppetry]],,,2013-12-11 21:54:00,Nakba
4,en,Nakba,2013-06-11 14:22:59,NawlinWiki,protect,Persistent [[WP:Sock puppetry|sock puppetry]],,,2013-09-11 14:22:00,Nakba
5,de,Nakba,2009-07-22 16:24:40,Wahrerwattwurm,protect,Diskuseite statt Editwar,,,2009-07-29 16:24:00,Nakba
6,en,Mandatory Palestine,2016-04-17 11:41:57,Acroterion,modify,per arbitration remedies for Israel-Palestine topics,"['edit', 'move']","['extendedconfirmed', 'extendedconfirmed']",2029-12-31 23:59:59,Mandatory_Palestine
7,en,Mandatory Palestine,2015-09-02 23:13:42,HJ Mitchell,protect,Persistent [[WP:Vandalism|vandalism]],,,2016-03-02 23:13:00,Mandatory_Palestine
8,en,Mandatory Palestine,2015-08-20 13:16:19,Materialscientist,protect,Persistent [[WP:Vandalism|vandalism]],,,2015-08-23 13:16:00,Mandatory_Palestine
9,en,Mandatory Palestine,2015-02-26 15:37:52,JBW,protect,"Long-term disruptive editing and block-evasion, on a number of pages, using numerous IP addresses, including open proxies.",,,2015-03-26 15:37:00,Mandatory_Palestine
10,en,Mandatory Palestine,2013-08-13 15:15:51,NawlinWiki,protect,Persistent [[WP:Sock puppetry|sock puppetry]],,,2013-11-13 15:15:00,Mandatory_Palestine
11,en,Mandatory Palestine,2013-02-20 16:06:58,NawlinWiki,protect,Persistent [[WP:Sock puppetry|sock puppetry]],,,2013-03-20 16:06:00,Mandatory_Palestine
12,de,Völkerbundsmandat für Palästina,2018-08-01 03:46:40,Ot,protect,[[WP:WAR|Edit-War]],"['edit', 'move']","['autoconfirmed', 'autoconfirmed']",2018-09-01 03:46:00,Mandatory_Palestine
13,de,Völkerbundsmandat für Palästina,2018-07-27 16:00:22,Artregor,protect,Wiederkehrender [[WP:Vd|Vandalismus]],['edit'],['autoconfirmed'],2018-07-28 16:00:00,Mandatory_Palestine
14,en,1948 Arab-Israeli War,2007-01-26 21:03:04,Banno,protect,"Upsurge in poor IP edits [edit=autoconfirmed:move=autoconfirmed] (expires 21:03, February 2, 2007 (UTC))",,,,1948_Arab-Israeli_War
15,en,1948 Arab-Israeli War,2006-03-04 18:18:37,Aaron Schulz,unprotect,"Sorry, but this is too long, maybe the editors got bored and left; we can always unprotected anyway",,,,1948_Arab-Israeli_War
16,en,1948 Arab-Israeli War,2006-03-04 02:35:51,Woohookitty,protect,things still are not resolved. reprotecting [edit=sysop:move=sysop],,,,1948_Arab-Israeli_War
17,en,1948 Arab-Israeli War,2006-03-04 01:44:09,Tony Sidaway,unprotect,No discussion of disputes in the past week,,,,1948_Arab-Israeli_War
18,en,1948 Arab-Israeli War,2006-02-08 21:56:44,Holly Cheng,protect,edit war [edit=sysop:move=sysop],,,,1948_Arab-Israeli_War
19,en,1948 Arab-Israeli War,2006-01-27 03:46:19,Woohookitty,unprotect,unprotecting,,,,1948_Arab-Israeli_War
20,en,1948 Arab-Israeli War,2006-01-22 22:16:35,Anonymous editor,protect,protected from edit war [edit=sysop:move=sysop],,,,1948_Arab-Israeli_War
21,en,1948 Arab-Israeli War,2006-01-09 02:06:21,Dominic,unprotect,"more than a week, and arbitration is going nowhere",,,,1948_Arab-Israeli_War
22,en,1948 Arab-Israeli War,2005-12-28 12:46:00,Woohookitty,protect,reprotecting. not working [edit=sysop:move=sysop],,,,1948_Arab-Israeli_War
23,en,1948 Arab-Israeli War,2005-12-28 12:45:54,Woohookitty,unprotect,reprotecting. not working,,,,1948_Arab-Israeli_War
24,en,1948 Arab-Israeli War,2005-12-27 23:29:36,Kyorosuke,unprotect,Let's try this again,,,,1948_Arab-Israeli_War
25,en,1948 Arab-Israeli War,2005-12-25 08:39:06,El C,protect,"[[WP:RFPP]] (Notice how the duration in which the article is open (i.e. not protected) are becoming more and more scarce - from three days, down to two) [edit=sysop:move=sysop]",,,,1948_Arab-Israeli_War
26,en,1948 Arab-Israeli War,2005-12-22 23:23:48,Kyorosuke,unprotect,Compromise has been worked out- let's see if this works,,,,1948_Arab-Israeli_War
27,en,1948 Arab-Israeli War,2005-12-19 05:18:52,Kyorosuke,protect,More editwarring- I'm attempting to mediate this dispute,,,,1948_Arab-Israeli_War
28,en,1948 Arab-Israeli War,2005-12-16 17:07:54,Jayjg,unprotect,one of the sides appears to have abandoned the article/Wikipedia,,,,1948_Arab-Israeli_War
29,en,1948 Arab-Israeli War,2005-12-11 18:18:27,Jayjg,protect,edit war,,,,1948_Arab-Israeli_War
30,en,1948 Arab-Israeli War,2005-11-22 00:19:58,Zero0000,unprotect,on request,,,,1948_Arab-Israeli_War
31,en,1948 Arab-Israeli War,2005-11-20 11:51:52,Zero0000,protect,let's have a rest,,,,1948_Arab-Israeli_War
32,en,David Ben-Gurion,2016-12-25 10:55:26,Samsara,protect,[[WP:ARBPIA3#500/30|New editors are prohibited from editing this Arab-Israeli conflict related page]]: via RfPP,"['edit', 'move']","['extendedconfirmed', 'extendedconfirmed']",2029-12-31 23:59:59,David_Ben-Gurion
33,en,David Ben-Gurion,2012-06-22 00:48:13,Elockid,protect,Persistent [[WP:Sock puppetry|sock puppetry]],,,2012-06-29 00:48:00,David_Ben-Gurion
34,en,David Ben-Gurion,2007-02-16 23:55:07,Mattflaschen,unprotect,too long,,,,David_Ben-Gurion
35,en,David Ben-Gurion,2006-12-24 04:57:52,Jayjg,protect,revert sockpuppet [edit=autoconfirmed:move=autoconfirmed],,,,David_Ben-Gurion
36,en,David Ben-Gurion,2006-12-14 00:13:10,Aaron Schulz,unprotect,Page protected for a while; hopefully protection is no longer necessary.,,,,David_Ben-Gurion
37,en,David Ben-Gurion,2006-11-28 18:53:12,Jayjg,protect,IP vandalism [edit=autoconfirmed:move=autoconfirmed],,,,David_Ben-Gurion
38,de,David Ben-Gurion,2010-08-03 09:07:02,Rbrausse,move_prot,"hat „[[David Ben Gurion]]“ nach „[[David Ben-Gurion]]“ verschoben: verbreitetere Schreibweise, siehe Disk",,,,David_Ben-Gurion
