,Article,Language,Month,Count
0,Slovak_National_Uprising,sk,2024-04,3
1,Slovak_National_Uprising,sk,2024-03,7
2,Slovak_National_Uprising,sk,2023-11,2
3,Slovak_National_Uprising,sk,2023-10,3
4,Slovak_National_Uprising,sk,2023-09,1
5,Slovak_National_Uprising,sk,2023-08,4
6,Slovak_National_Uprising,sk,2023-06,4
7,Slovak_National_Uprising,sk,2023-05,2
8,Slovak_National_Uprising,sk,2023-04,3
9,Slovak_National_Uprising,sk,2023-03,1
10,Slovak_National_Uprising,sk,2023-02,13
11,Slovak_National_Uprising,sk,2022-12,6
12,Slovak_National_Uprising,sk,2022-11,1
13,Slovak_National_Uprising,sk,2022-08,5
14,Slovak_National_Uprising,sk,2022-05,11
15,Slovak_National_Uprising,sk,2022-02,4
16,Slovak_National_Uprising,sk,2021-10,6
17,Slovak_National_Uprising,sk,2021-09,5
18,Slovak_National_Uprising,sk,2021-08,2
19,Slovak_National_Uprising,sk,2021-07,2
20,Slovak_National_Uprising,sk,2021-06,3
21,Slovak_National_Uprising,sk,2021-05,3
22,Slovak_National_Uprising,sk,2021-04,1
23,Slovak_National_Uprising,sk,2021-03,1
24,Slovak_National_Uprising,sk,2021-02,5
25,Slovak_National_Uprising,sk,2021-01,1
26,Slovak_National_Uprising,sk,2020-12,2
27,Slovak_National_Uprising,sk,2020-10,1
28,Slovak_National_Uprising,sk,2020-07,1
29,Slovak_National_Uprising,sk,2020-06,1
30,Slovak_National_Uprising,sk,2020-05,3
31,Slovak_National_Uprising,sk,2020-04,1
32,Slovak_National_Uprising,sk,2019-12,5
33,Slovak_National_Uprising,sk,2019-09,16
34,Slovak_National_Uprising,sk,2019-08,35
35,Slovak_National_Uprising,sk,2019-07,1
36,Slovak_National_Uprising,sk,2019-06,1
37,Slovak_National_Uprising,sk,2019-05,1
38,Slovak_National_Uprising,sk,2019-04,3
39,Slovak_National_Uprising,sk,2019-03,17
40,Slovak_National_Uprising,sk,2019-02,2
41,Slovak_National_Uprising,sk,2019-01,1
42,Slovak_National_Uprising,sk,2018-12,2
43,Slovak_National_Uprising,sk,2018-11,2
44,Slovak_National_Uprising,sk,2018-10,4
45,Slovak_National_Uprising,sk,2018-09,7
46,Slovak_National_Uprising,sk,2018-08,10
47,Slovak_National_Uprising,sk,2018-06,1
48,Slovak_National_Uprising,sk,2018-05,3
49,Slovak_National_Uprising,sk,2018-02,1
50,Slovak_National_Uprising,sk,2018-01,7
51,Slovak_National_Uprising,sk,2017-11,12
52,Slovak_National_Uprising,sk,2017-09,3
53,Slovak_National_Uprising,sk,2017-08,4
54,Slovak_National_Uprising,sk,2017-05,4
55,Slovak_National_Uprising,sk,2017-04,4
56,Slovak_National_Uprising,sk,2017-03,2
57,Slovak_National_Uprising,sk,2017-02,3
58,Slovak_National_Uprising,sk,2017-01,1
59,Slovak_National_Uprising,sk,2016-11,2
60,Slovak_National_Uprising,sk,2016-08,5
61,Slovak_National_Uprising,sk,2016-07,1
62,Slovak_National_Uprising,sk,2016-06,1
63,Slovak_National_Uprising,sk,2016-05,1
64,Slovak_National_Uprising,sk,2016-04,4
65,Slovak_National_Uprising,sk,2016-03,6
66,Slovak_National_Uprising,sk,2016-02,1
67,Slovak_National_Uprising,sk,2016-01,5
68,Slovak_National_Uprising,sk,2015-12,3
69,Slovak_National_Uprising,sk,2015-11,2
70,Slovak_National_Uprising,sk,2015-10,4
71,Slovak_National_Uprising,sk,2015-09,7
72,Slovak_National_Uprising,sk,2015-08,7
73,Slovak_National_Uprising,sk,2015-07,2
74,Slovak_National_Uprising,sk,2015-05,3
75,Slovak_National_Uprising,sk,2015-03,1
76,Slovak_National_Uprising,sk,2015-02,6
77,Slovak_National_Uprising,sk,2015-01,9
78,Slovak_National_Uprising,sk,2014-12,4
79,Slovak_National_Uprising,sk,2014-09,13
80,Slovak_National_Uprising,sk,2014-08,8
81,Slovak_National_Uprising,sk,2014-07,3
82,Slovak_National_Uprising,sk,2014-06,5
83,Slovak_National_Uprising,sk,2014-05,4
84,Slovak_National_Uprising,sk,2014-04,1
85,Slovak_National_Uprising,sk,2014-03,7
86,Slovak_National_Uprising,sk,2014-02,4
87,Slovak_National_Uprising,sk,2014-01,1
88,Slovak_National_Uprising,sk,2013-12,6
89,Slovak_National_Uprising,sk,2013-11,6
90,Slovak_National_Uprising,sk,2013-10,2
91,Slovak_National_Uprising,sk,2013-09,20
92,Slovak_National_Uprising,sk,2013-08,30
93,Slovak_National_Uprising,sk,2013-07,3
94,Slovak_National_Uprising,sk,2013-05,2
95,Slovak_National_Uprising,sk,2013-03,1
96,Slovak_National_Uprising,sk,2013-02,4
97,Slovak_National_Uprising,sk,2012-08,4
98,Slovak_National_Uprising,sk,2012-07,3
99,Slovak_National_Uprising,sk,2012-06,2
100,Slovak_National_Uprising,sk,2012-05,6
101,Slovak_National_Uprising,sk,2012-04,5
102,Slovak_National_Uprising,sk,2012-02,28
103,Slovak_National_Uprising,sk,2012-01,1
104,Slovak_National_Uprising,sk,2011-12,5
105,Slovak_National_Uprising,sk,2011-10,1
106,Slovak_National_Uprising,sk,2011-08,2
107,Slovak_National_Uprising,sk,2011-07,3
108,Slovak_National_Uprising,sk,2011-06,3
109,Slovak_National_Uprising,sk,2011-05,3
