,Article,Language,Month,Count
0,Nakba,en,2024-05,17.0
1,Nakba,en,2024-04,50.0
2,Nakba,en,2024-03,45.0
3,Nakba,en,2024-02,67.0
4,Nakba,en,2024-01,112.0
5,Nakba,en,2023-12,121.0
6,Nakba,en,2023-11,188.0
7,Nakba,en,2023-10,124.0
8,Nakba,en,2023-09,4.0
9,Nakba,en,2023-07,1.0
10,Nakba,en,2023-05,17.0
11,Nakba,en,2023-04,2.0
12,Nakba,en,2023-03,7.0
13,Nakba,en,2023-02,3.0
14,Nakba,en,2023-01,4.0
15,Nakba,en,2022-12,12.0
16,Nakba,en,2022-11,3.0
17,Nakba,en,2022-10,3.0
18,Nakba,en,2022-09,6.0
19,Nakba,en,2022-08,4.0
20,Nakba,en,2022-06,7.0
21,Nakba,en,2022-05,6.0
22,Nakba,en,2022-04,5.0
23,Nakba,en,2022-03,3.0
24,Nakba,en,2021-12,3.0
25,Nakba,en,2021-11,5.0
26,Nakba,en,2021-10,1.0
27,Nakba,en,2021-08,4.0
28,Nakba,en,2021-06,1.0
29,Nakba,en,2021-05,17.0
30,Nakba,en,2021-04,119.0
31,Nakba,ar,2024-05,4.0
32,Nakba,ar,2024-04,1.0
33,Nakba,ar,2024-01,1.0
34,Nakba,ar,2023-12,4.0
35,Nakba,ar,2023-11,1.0
36,Nakba,ar,2023-10,2.0
37,Nakba,ar,2023-08,3.0
38,Nakba,ar,2023-06,2.0
39,Nakba,ar,2023-05,25.0
40,Nakba,ar,2023-01,4.0
41,Nakba,ar,2022-12,1.0
42,Nakba,ar,2022-07,5.0
43,Nakba,ar,2022-05,7.0
44,Nakba,ar,2022-04,2.0
45,Nakba,ar,2022-03,2.0
46,Nakba,ar,2022-02,2.0
47,Nakba,ar,2022-01,2.0
48,Nakba,ar,2021-12,1.0
49,Nakba,ar,2021-11,2.0
50,Nakba,ar,2021-07,2.0
51,Nakba,ar,2021-06,4.0
52,Nakba,ar,2021-05,7.0
53,Nakba,ar,2021-04,3.0
54,Nakba,ar,2021-02,2.0
55,Nakba,ar,2021-01,1.0
56,Nakba,ar,2020-12,2.0
57,Nakba,ar,2020-10,1.0
58,Nakba,ar,2020-07,3.0
59,Nakba,ar,2020-05,4.0
60,Nakba,ar,2020-04,1.0
61,Nakba,ar,2020-03,2.0
62,Nakba,ar,2020-02,1.0
63,Nakba,ar,2019-11,2.0
64,Nakba,ar,2019-09,3.0
65,Nakba,ar,2019-08,2.0
66,Nakba,ar,2019-01,3.0
67,Nakba,ar,2018-05,2.0
68,Nakba,ar,2018-04,3.0
